,Avg_Precision,Avg_Recall,Avg_ROC_AUC,Avg_Gmean,resample_algo,model_algo,file_name,dataset_name,Avg_f1_score
4,0.9565217391304348,1.0,1.0,0.9965751806810472,smote_msfb1,knn_jaccard,target_2,genbase,0.4888888888888889
10,1.0,1.0,1.0,1.0,smote_msfb1,knn_jaccard,target_6,genbase,0.5
16,1.0,1.0,1.0,1.0,smote_msfb1,knn_jaccard,target_4,genbase,0.5
22,1.0,1.0,1.0,1.0,smote_msfb1,knn_jaccard,target_8,genbase,0.5
28,1.0,1.0,1.0,1.0,smote_msfb1,knn_jaccard,target_3,genbase,0.5
34,1.0,1.0,1.0,1.0,smote_msfb1,knn_jaccard,target_7,genbase,0.5
40,1.0,0.994186046511628,1.0,0.9970759228008812,smote_msfb1,knn_jaccard,target_5,genbase,0.4985422740524781
46,1.0,1.0,1.0,1.0,smote_msfb1,knn_jaccard,target_1,genbase,0.5
52,1.0,1.0,1.0,1.0,smote_msfb1,knn_jaccard,target_9,genbase,0.5
3,1.0,1.0,1.0,1.0,smote_msfb1,logistic_regression,target_2,genbase,0.5
9,1.0,1.0,1.0,1.0,smote_msfb1,logistic_regression,target_6,genbase,0.5
15,1.0,0.9583333333333334,1.0,0.9782177322938193,smote_msfb1,logistic_regression,target_4,genbase,0.4893617021276595
21,1.0,1.0,1.0,1.0,smote_msfb1,logistic_regression,target_8,genbase,0.5
27,1.0,1.0,1.0,1.0,smote_msfb1,logistic_regression,target_3,genbase,0.5
33,1.0,1.0,1.0,1.0,smote_msfb1,logistic_regression,target_7,genbase,0.5
39,1.0,0.994186046511628,1.0,0.9970759228008812,smote_msfb1,logistic_regression,target_5,genbase,0.4985422740524781
45,1.0,1.0,1.0,1.0,smote_msfb1,logistic_regression,target_1,genbase,0.5
51,1.0,1.0,1.0,1.0,smote_msfb1,logistic_regression,target_9,genbase,0.5
5,1.0,0.7763157894736842,1.0,0.8799984716782547,smote_msfb1,naive_bayes,target_2,genbase,0.437037037037037
11,0.0,0.0,1.0,0.0,smote_msfb1,naive_bayes,target_6,genbase,0.0
17,1.0,0.7291666666666667,1.0,0.8483876588590964,smote_msfb1,naive_bayes,target_4,genbase,0.4216867469879519
23,1.0,0.8055555555555555,1.0,0.8960079419450124,smote_msfb1,naive_bayes,target_8,genbase,0.4461538461538462
29,1.0,0.2104166666666666,1.0,0.4574091946946796,smote_msfb1,naive_bayes,target_3,genbase,0.17383820998278826
35,1.0,0.8198529411764706,1.0,0.904321729701922,smote_msfb1,naive_bayes,target_7,genbase,0.4505050505050505
41,1.0,0.994186046511628,1.0,0.9970759228008812,smote_msfb1,naive_bayes,target_5,genbase,0.4985422740524781
47,1.0,0.1519736842105263,1.0,0.3870248508142627,smote_msfb1,naive_bayes,target_1,genbase,0.13192461450599655
53,0.0,0.0,1.0,0.0,smote_msfb1,naive_bayes,target_9,genbase,0.0
2,0.9875,1.0,1.0,0.9991482087673376,smoten,knn_jaccard,target_2,genbase,0.4968553459119497
8,0.9821428571428572,1.0,1.0,0.9991816671988006,smoten,knn_jaccard,target_6,genbase,0.49549549549549554
14,0.9807692307692308,1.0,0.9991830065359476,0.9991816671988006,smoten,knn_jaccard,target_4,genbase,0.49514563106796117
20,0.975,1.0,1.0,0.9992025498024156,smoten,knn_jaccard,target_8,genbase,0.4936708860759494
26,0.9852941176470588,1.0,1.0,0.9991652731287676,smoten,knn_jaccard,target_3,genbase,0.49629629629629624
32,0.9861111111111112,1.0,1.0,0.9991596614878736,smoten,knn_jaccard,target_7,genbase,0.4965034965034965
38,1.0,0.994186046511628,1.0,0.9970759228008812,smoten,knn_jaccard,target_5,genbase,0.4985422740524781
44,0.988095238095238,1.0,1.0,0.99913643956122,smoten,knn_jaccard,target_1,genbase,0.49700598802395207
50,0.9772727272727272,1.0,0.9991935483870968,0.999192243445795,smoten,knn_jaccard,target_9,genbase,0.4942528735632184
1,1.0,1.0,1.0,1.0,smoten,logistic_regression,target_2,genbase,0.5
7,1.0,1.0,1.0,1.0,smoten,logistic_regression,target_6,genbase,0.5
13,1.0,0.9583333333333334,1.0,0.9782177322938193,smoten,logistic_regression,target_4,genbase,0.4893617021276595
19,1.0,1.0,1.0,1.0,smoten,logistic_regression,target_8,genbase,0.5
25,1.0,1.0,1.0,1.0,smoten,logistic_regression,target_3,genbase,0.5
31,1.0,1.0,1.0,1.0,smoten,logistic_regression,target_7,genbase,0.5
37,1.0,0.994186046511628,1.0,0.9970759228008812,smoten,logistic_regression,target_5,genbase,0.4985422740524781
43,1.0,1.0,1.0,1.0,smoten,logistic_regression,target_1,genbase,0.5
49,1.0,1.0,1.0,1.0,smoten,logistic_regression,target_9,genbase,0.5
0,1.0,1.0,1.0,1.0,smoten,naive_bayes,target_2,genbase,0.5
6,1.0,1.0,1.0,1.0,smoten,naive_bayes,target_6,genbase,0.5
12,1.0,1.0,1.0,1.0,smoten,naive_bayes,target_4,genbase,0.5
18,1.0,1.0,1.0,1.0,smoten,naive_bayes,target_8,genbase,0.5
24,1.0,1.0,1.0,1.0,smoten,naive_bayes,target_3,genbase,0.5
30,1.0,1.0,1.0,1.0,smoten,naive_bayes,target_7,genbase,0.5
36,1.0,0.994186046511628,1.0,0.9970759228008812,smoten,naive_bayes,target_5,genbase,0.4985422740524781
42,1.0,1.0,1.0,1.0,smoten,naive_bayes,target_1,genbase,0.5
48,1.0,1.0,1.0,1.0,smoten,naive_bayes,target_9,genbase,0.5
